constituency_geographic_code,country_name,constituency_name,result_summary_2024,con_2024,lab_2024,ruk_2024,turnout_2024,prev_con_2024,prev_lab_2024,con_lost_2024,con_2019,lab_2019,turnout_2019,pct_age_18_24,pct_age_65_plus,pct_born_outside_uk,pct_christian,pct_no_religion,pct_owner_occupiers,pct_no_qualifications,pct_higher_education,pct_white,pct_lgb_plus,hanretty_leave,DIF_Cons,DIF_Turnout
E14001131,England,Bristol Central,Green gain from Lab,0.046074,0.325885,0.030854,0.69124093408783,0,1,0,0.14342661,0.5848484,0.732296695003346,0.28483716,0.082082221,0.243371052,0.239064969,0.580240058,0.398575954,0.048241745,0.562891882,0.781570704,0.096317754,0.177199594,-0.09735261,-0.0410557609155165
E14001132,England,Bristol East,Lab hold,0.139561,0.449977,0,0.607360670205619,0,1,0,0.23309699,0.583873,0.728060471976401,0.086417285,0.12571439,0.200089013,0.318777372,0.479092842,0.561212413,0.177244782,0.37384375,0.765071655,0.058388501,0.460822475,-0.09353599,-0.120699801770782
E14001133,England,Bristol North East,Lab hold,0.148039,0.452595,0.129034,0.599192305496889,0,1,0,0.39124835,0.50297517,0.700714971415471,0.097354004,0.154152279,0.169969525,0.362561137,0.458983525,0.604187488,0.180360822,0.320194769,0.788172025,0.04268681,0.512242976,-0.24320935,-0.101522665918582
E14001134,England,Bristol North West,Lab hold,0.139753,0.49641,0.100343,0.64731731424221,0,1,0,0.36490026,0.48877665,0.760650143912064,0.114199368,0.16233344,0.169624737,0.39301446,0.477082704,0.615095757,0.141756881,0.430575593,0.856271138,0.043064864,0.362613499,-0.22514726,-0.113332829669854
E14001135,England,Bristol South,Lab hold,0.113978,0.426722,0.142732,0.574623012458131,0,1,0,0.32816774,0.51622194,0.646192567205741,0.081600892,0.136850094,0.125925875,0.32337429,0.57318936,0.557434764,0.195444903,0.351655424,0.900899648,0.050877757,0.463067339,-0.21418974,-0.0715695547476097
E14001136,England,Broadland and Fakenham,Con hold,0.329651,0.315129,0.178923,0.644172098408857,1,0,0,0.59149086,0.21611694,0.72440232076481,0.059274816,0.266404509,0.046978674,0.493977969,0.431828897,0.741918882,0.179441352,0.274000409,0.973125363,0.022544489,0.54132443,-0.26183986,-0.0802302223559526
E14001137,England,Bromley and Biggin Hill,Con hold,0.340451,0.333996,0.175323,0.661660515039667,1,0,0,0.54445755,0.25133514,0.696668465449175,0.062102825,0.176684023,0.193453717,0.485910512,0.37420942,0.721479671,0.129897513,0.424297799,0.782049836,0.024369049,0.499683486,-0.20400655,-0.0350079504095076
E14001138,England,Bromsgrove,Con hold,0.328003,0.268168,0.19014,0.659164617879374,1,0,0,0.6339917,0.20824735,0.720695836929819,0.06050249,0.229266227,0.048406479,0.535121946,0.37444925,0.775348972,0.156903121,0.366185374,0.930693725,0.0202841,0.553651279,-0.3059887,-0.0615312190504444
E14001139,England,Broxbourne,Con hold,0.368085,0.301546,0.204461,0.571094269379072,1,0,0,0.6424122,0.23985317,0.63184191692952,0.071924127,0.175824784,0.170069282,0.528608595,0.335821171,0.687429661,0.204800441,0.277669211,0.82226548,0.017679787,0.653239571,-0.2743272,-0.060747647550448
E14001140,England,Broxtowe,Lab gain from Con,0.233246,0.408901,0.175634,0.679131175468484,1,0,1,0.4516607,0.38003787,0.735857909772153,0.08341531,0.217159056,0.106712173,0.418103357,0.47239439,0.701568656,0.173766589,0.346216189,0.890233446,0.032809928,0.543678659,-0.2184147,-0.0567267343036695
E14001141,England,Buckingham and Bletchley,Lab gain from Con,0.318654,0.369472,0.156756,0.636639405601882,1,0,1,0.5305556,0.2768918,0.714369127152246,0.070385202,0.16884875,0.181528989,0.470236856,0.381487021,0.644320343,0.158495772,0.347951778,0.801751056,0.024878844,0.562486847,-0.2119016,-0.0777297215503644
E14001142,England,Burnley,Lab gain from Con,0.202875,0.317178,0.195247,0.52991167916322,1,0,1,0.40456882,0.40187255,0.624396839705181,0.076260976,0.178170467,0.142991409,0.456090548,0.293396011,0.611976685,0.247337633,0.245987701,0.775971927,0.025175664,0.661137526,-0.20169382,-0.0944851605419604
E14001143,England,Burton and Uttoxeter,Lab gain from Con,0.305872,0.355535,0.210643,0.585006538964536,1,0,1,0.60650826,0.3090812,0.645878611184734,0.0735728,0.177742429,0.149939618,0.493091038,0.341298263,0.651986648,0.207739509,0.274907627,0.852194839,0.025083023,0.646554358,-0.30063626,-0.060872072220198
E14001144,England,Bury North,Lab gain from Con,0.278581,0.431129,0.162236,0.585948562160492,1,0,1,0.472882,0.44890592,0.694334428443429,0.069619333,0.194618121,0.119115915,0.520545953,0.294642251,0.67513876,0.191402116,0.307178932,0.822418326,0.024951599,0.541069461,-0.194301,-0.108385866282936
E14001145,England,Bury South,Lab gain from Con,0.234188,0.455939,0.162624,0.560417385763216,1,0,1,0.43466172,0.41582382,0.665352958524357,0.072160118,0.161805081,0.144795317,0.420852423,0.269912209,0.637900793,0.186539692,0.334395481,0.829359558,0.031876501,0.531255062,-0.20047372,-0.104935572761141
E14001146,England,Bury St Edmunds and Stowmarket,Lab gain from Con,0.300493,0.329024,0.168884,0.648491953261382,1,0,1,0.62923723,0.20841828,0.693688454166942,0.06837447,0.232581493,0.101351846,0.481145636,0.438553481,0.656092971,0.174537793,0.312442298,0.947837971,0.0268338,0.546467747,-0.32874423,-0.04519650090556
E14001147,England,Calder Valley,Lab gain from Con,0.263163,0.444404,0.154088,0.641228478362029,1,0,1,0.5135331,0.4230701,0.74294287180702,0.061412188,0.210384445,0.043846985,0.446919139,0.466091855,0.689855072,0.158813071,0.356103243,0.949702205,0.038133774,0.514634119,-0.2503701,-0.101714393444991
